secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
90,2026-09-08T04:05:03.253Z,2026-09-08T04:05:03.266Z,1,B,13.020,200,4.501,E0,
91,2026-09-08T04:05:03.302Z,2026-09-08T04:05:03.316Z,1,B,13.380,200,4.551,E0,
92,2026-09-08T04:05:03.353Z,2026-09-08T04:05:03.362Z,1,B,9.383,200,4.601,E0,
93,2026-09-08T04:05:03.402Z,2026-09-08T04:05:03.414Z,1,B,11.687,200,4.651,E0,
94,2026-09-08T04:05:03.453Z,2026-09-08T04:05:03.473Z,1,C,20.012,200,4.701,E0,
95,2026-09-08T04:05:03.502Z,2026-09-08T04:05:03.514Z,1,A,12.223,200,4.750,E0,
96,2026-09-08T04:05:03.553Z,2026-09-08T04:05:03.562Z,1,C,9.075,200,4.801,E0,
97,2026-09-08T04:05:03.602Z,2026-09-08T04:05:03.622Z,1,C,19.554,200,4.851,E0,
98,2026-09-08T04:05:03.653Z,2026-09-08T04:05:03.666Z,1,B,13.050,200,4.901,E0,
99,2026-09-08T04:05:03.702Z,2026-09-08T04:05:03.712Z,1,B,9.631,200,4.950,E0,
100,2026-09-08T04:05:03.753Z,2026-09-08T04:05:03.761Z,1,C,8.182,200,5.001,E0,
101,2026-09-08T04:05:03.802Z,2026-09-08T04:05:03.813Z,1,B,10.728,200,5.051,E0,
102,2026-09-08T04:05:03.853Z,2026-09-08T04:05:03.866Z,1,B,13.181,200,5.101,E0,
103,2026-09-08T04:05:03.903Z,2026-09-08T04:05:03.911Z,1,C,7.918,200,5.151,E0,
104,2026-09-08T04:05:03.952Z,2026-09-08T04:05:03.962Z,1,B,9.684,200,5.201,E0,
105,2026-09-08T04:05:04.003Z,2026-09-08T04:05:04.014Z,1,A,11.237,200,5.251,E0,
106,2026-09-08T04:05:04.052Z,2026-09-08T04:05:04.058Z,1,A,6.037,200,5.300,E0,
107,2026-09-08T04:05:04.102Z,2026-09-08T04:05:04.123Z,1,C,21.069,200,5.351,E0,
108,2026-09-08T04:05:04.152Z,2026-09-08T04:05:04.172Z,1,B,20.148,200,5.400,E0,
109,2026-09-08T04:05:04.203Z,2026-09-08T04:05:04.216Z,1,C,13.256,200,5.451,E0,
110,2026-09-08T04:05:04.252Z,2026-09-08T04:05:04.263Z,1,C,10.494,200,5.501,E0,
111,2026-09-08T04:05:04.303Z,2026-09-08T04:05:04.315Z,1,C,12.772,200,5.551,E0,
112,2026-09-08T04:05:04.352Z,2026-09-08T04:05:04.362Z,1,A,10.095,200,5.600,E0,
113,2026-09-08T04:05:04.402Z,2026-09-08T04:05:04.413Z,1,B,10.837,200,5.651,E0,
114,2026-09-08T04:05:04.453Z,2026-09-08T04:05:04.468Z,1,B,15.251,200,5.701,E0,
115,2026-09-08T04:05:04.502Z,2026-09-08T04:05:04.515Z,1,A,12.706,200,5.751,E0,
116,2026-09-08T04:05:04.553Z,2026-09-08T04:05:04.564Z,1,A,11.671,200,5.801,E0,
117,2026-09-08T04:05:04.603Z,2026-09-08T04:05:04.610Z,1,B,7.254,200,5.851,E0,
118,2026-09-08T04:05:04.652Z,2026-09-08T04:05:04.673Z,1,A,20.884,200,5.901,E0,
119,2026-09-08T04:05:04.702Z,2026-09-08T04:05:04.716Z,1,B,13.987,200,5.950,E0,
120,2026-09-08T04:05:04.753Z,2026-09-08T04:05:04.758Z,1,B,5.843,200,6.001,E0,
121,2026-09-08T04:05:04.802Z,2026-09-08T04:05:04.807Z,1,A,4.878,200,6.050,E0,
122,2026-09-08T04:05:04.852Z,2026-09-08T04:05:04.863Z,1,B,11.459,200,6.100,E0,
123,2026-09-08T04:05:04.902Z,2026-09-08T04:05:04.915Z,1,B,13.240,200,6.150,E0,
124,2026-09-08T04:05:04.953Z,2026-09-08T04:05:04.969Z,1,C,16.384,200,6.201,E0,
125,2026-09-08T04:05:05.003Z,2026-09-08T04:05:05.015Z,1,B,12.355,200,6.251,E0,
126,2026-09-08T04:05:05.052Z,2026-09-08T04:05:05.061Z,1,C,8.697,200,6.301,E0,
127,2026-09-08T04:05:05.102Z,2026-09-08T04:05:05.109Z,1,C,7.005,200,6.351,E0,
128,2026-09-08T04:05:05.153Z,2026-09-08T04:05:05.167Z,1,B,14.441,200,6.401,E0,
129,2026-09-08T04:05:05.203Z,2026-09-08T04:05:05.209Z,1,C,6.603,200,6.451,E0,
130,2026-09-08T04:05:05.253Z,2026-09-08T04:05:05.261Z,1,B,7.950,200,6.501,E0,
131,2026-09-08T04:05:05.302Z,2026-09-08T04:05:05.317Z,1,B,14.695,200,6.551,E0,
132,2026-09-08T04:05:05.352Z,2026-09-08T04:05:05.357Z,1,B,4.769,200,6.601,E0,
133,2026-09-08T04:05:05.402Z,2026-09-08T04:05:05.420Z,1,B,18.445,200,6.650,E0,
134,2026-09-08T04:05:05.452Z,2026-09-08T04:05:05.459Z,1,C,7.000,200,6.701,E0,
135,2026-09-08T04:05:05.503Z,2026-09-08T04:05:05.509Z,1,B,6.534,200,6.751,E0,
136,2026-09-08T04:05:05.553Z,2026-09-08T04:05:05.559Z,1,B,6.646,200,6.801,E0,
137,2026-09-08T04:05:05.603Z,2026-09-08T04:05:05.619Z,1,C,16.721,200,6.851,E0,
138,2026-09-08T04:05:05.652Z,2026-09-08T04:05:05.669Z,1,C,17.503,200,6.900,E0,
139,2026-09-08T04:05:05.703Z,2026-09-08T04:05:05.716Z,1,B,12.786,200,6.951,E0,
140,2026-09-08T04:05:05.752Z,2026-09-08T04:05:05.762Z,1,A,9.710,200,7.001,E0,
141,2026-09-08T04:05:05.803Z,2026-09-08T04:05:05.812Z,1,A,9.540,200,7.051,E0,
142,2026-09-08T04:05:05.852Z,2026-09-08T04:05:05.868Z,1,B,15.760,200,7.100,E0,
143,2026-09-08T04:05:05.903Z,2026-09-08T04:05:05.908Z,1,A,5.309,200,7.151,E0,
144,2026-09-08T04:05:05.953Z,2026-09-08T04:05:05.971Z,1,A,17.788,200,7.201,E0,
145,2026-09-08T04:05:06.002Z,2026-09-08T04:05:06.022Z,1,A,20.228,200,7.250,E0,
146,2026-09-08T04:05:06.053Z,2026-09-08T04:05:06.062Z,1,A,9.648,200,7.301,E0,
147,2026-09-08T04:05:06.103Z,2026-09-08T04:05:06.109Z,1,C,6.307,200,7.351,E0,
148,2026-09-08T04:05:06.152Z,2026-09-08T04:05:06.162Z,1,B,10.071,200,7.401,E0,
149,2026-09-08T04:05:06.202Z,2026-09-08T04:05:06.218Z,1,B,15.795,200,7.450,E0,
150,2026-09-08T04:05:06.252Z,2026-09-08T04:05:06.260Z,1,B,7.297,200,7.501,E0,
151,2026-09-08T04:05:06.303Z,2026-09-08T04:05:06.320Z,1,A,17.406,200,7.551,E0,
152,2026-09-08T04:05:06.353Z,2026-09-08T04:05:06.363Z,1,A,10.186,200,7.601,E0,
153,2026-09-08T04:05:06.406Z,2026-09-08T04:05:06.419Z,1,A,13.574,200,7.654,E0,
