secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
88,2026-09-08T04:05:52.150Z,2026-09-08T04:05:52.162Z,1,C,12.740,200,4.401,E1,
89,2026-09-08T04:05:52.200Z,2026-09-08T04:05:52.209Z,1,C,8.828,200,4.451,E1,
90,2026-09-08T04:05:52.249Z,2026-09-08T04:05:52.264Z,1,B,14.111,200,4.500,E1,
91,2026-09-08T04:05:52.300Z,2026-09-08T04:05:52.309Z,1,A,9.833,200,4.551,E1,
92,2026-09-08T04:05:52.350Z,2026-09-08T04:05:52.359Z,1,B,8.493,200,4.601,E1,
93,2026-09-08T04:05:52.399Z,2026-09-08T04:05:52.418Z,1,C,19.025,200,4.650,E1,
94,2026-09-08T04:05:52.450Z,2026-09-08T04:05:52.462Z,1,B,12.464,200,4.701,E1,
95,2026-09-08T04:05:52.500Z,2026-09-08T04:05:52.511Z,1,B,11.427,200,4.751,E1,
96,2026-09-08T04:05:52.550Z,2026-09-08T04:05:52.572Z,1,A,21.911,200,4.801,E1,
97,2026-09-08T04:05:52.599Z,2026-09-08T04:05:52.611Z,1,A,11.831,200,4.850,E1,
98,2026-09-08T04:05:52.650Z,2026-09-08T04:05:52.656Z,1,A,6.576,200,4.901,E1,
99,2026-09-08T04:05:52.700Z,2026-09-08T04:05:52.708Z,1,A,7.739,200,4.951,E1,
100,2026-09-08T04:05:52.750Z,2026-09-08T04:05:52.764Z,1,A,13.566,200,5.001,E1,
101,2026-09-08T04:05:52.799Z,2026-09-08T04:05:52.807Z,1,A,7.714,200,5.050,E1,
102,2026-09-08T04:05:52.850Z,2026-09-08T04:05:52.869Z,1,C,18.524,200,5.101,E1,
103,2026-09-08T04:05:52.900Z,2026-09-08T04:05:52.924Z,1,C,23.403,200,5.151,E1,
104,2026-09-08T04:05:52.950Z,2026-09-08T04:05:52.958Z,1,C,7.591,200,5.201,E1,
105,2026-09-08T04:05:53.000Z,2026-09-08T04:05:53.006Z,1,C,6.373,200,5.251,E1,
106,2026-09-08T04:05:53.050Z,2026-09-08T04:05:53.061Z,1,C,10.743,200,5.301,E1,
107,2026-09-08T04:05:53.099Z,2026-09-08T04:05:53.108Z,1,C,8.445,200,5.350,E1,
108,2026-09-08T04:05:53.149Z,2026-09-08T04:05:53.159Z,1,A,9.352,200,5.400,E1,
109,2026-09-08T04:05:53.200Z,2026-09-08T04:05:53.212Z,1,B,11.593,200,5.451,E1,
110,2026-09-08T04:05:53.249Z,2026-09-08T04:05:53.268Z,1,B,19.298,200,5.500,E1,
111,2026-09-08T04:05:53.300Z,2026-09-08T04:05:53.312Z,1,B,12.460,200,5.551,E1,
112,2026-09-08T04:05:53.350Z,2026-09-08T04:05:53.363Z,1,A,12.579,200,5.601,E1,
113,2026-09-08T04:05:53.399Z,2026-09-08T04:05:53.415Z,1,A,15.469,200,5.650,E1,
114,2026-09-08T04:05:53.449Z,2026-09-08T04:05:53.466Z,1,B,16.812,200,5.700,E1,
115,2026-09-08T04:05:53.500Z,2026-09-08T04:05:53.515Z,1,C,15.432,200,5.751,E1,
116,2026-09-08T04:05:53.550Z,2026-09-08T04:05:53.559Z,1,A,9.334,200,5.801,E1,
117,2026-09-08T04:05:53.600Z,2026-09-08T04:05:53.627Z,1,C,26.946,200,5.851,E1,
118,2026-09-08T04:05:53.650Z,2026-09-08T04:05:53.659Z,1,C,9.008,200,5.901,E1,
119,2026-09-08T04:05:53.700Z,2026-09-08T04:05:53.711Z,1,B,11.028,200,5.951,E1,
120,2026-09-08T04:05:53.750Z,2026-09-08T04:05:53.759Z,1,C,9.019,200,6.001,E1,
121,2026-09-08T04:05:53.800Z,2026-09-08T04:05:53.815Z,1,B,15.416,200,6.051,E1,
122,2026-09-08T04:05:53.849Z,2026-09-08T04:05:53.856Z,1,A,6.969,200,6.100,E1,
123,2026-09-08T04:05:53.900Z,2026-09-08T04:05:53.916Z,1,C,16.004,200,6.151,E1,
124,2026-09-08T04:05:53.950Z,2026-09-08T04:05:53.955Z,1,C,4.493,200,6.201,E1,
125,2026-09-08T04:05:54.000Z,2026-09-08T04:05:54.004Z,1,C,4.426,200,6.251,E1,
126,2026-09-08T04:05:54.049Z,2026-09-08T04:05:54.054Z,1,B,4.913,200,6.300,E1,
127,2026-09-08T04:05:54.100Z,2026-09-08T04:05:54.106Z,1,A,6.175,200,6.351,E1,
128,2026-09-08T04:05:54.149Z,2026-09-08T04:05:54.165Z,1,C,16.106,200,6.400,E1,
129,2026-09-08T04:05:54.200Z,2026-09-08T04:05:54.210Z,1,A,10.561,200,6.451,E1,
130,2026-09-08T04:05:54.250Z,2026-09-08T04:05:54.254Z,1,C,4.146,200,6.501,E1,
131,2026-09-08T04:05:54.300Z,2026-09-08T04:05:54.308Z,1,A,7.608,200,6.551,E1,
132,2026-09-08T04:05:54.350Z,2026-09-08T04:05:54.361Z,1,A,10.971,200,6.601,E1,
133,2026-09-08T04:05:54.399Z,2026-09-08T04:05:54.409Z,1,A,9.744,200,6.650,E1,
