secuencia,timestamp_envio,timestamp_respuesta,exito,desde_cache,id_tarjeta,latencia_ms,codigo_http,segundo_relativo,experimento,error
103,2026-09-22T23:34:26.969Z,2026-09-22T23:34:27.171Z,1,0,1002,201.735,200,12.876,E1,
104,2026-09-22T23:34:27.094Z,2026-09-22T23:34:27.297Z,1,0,1003,202.401,200,13.001,E1,
105,2026-09-22T23:34:27.219Z,2026-09-22T23:34:27.421Z,1,0,1004,202.231,200,13.126,E1,
106,2026-09-22T23:34:27.344Z,2026-09-22T23:34:27.546Z,1,0,1005,202.294,200,13.251,E1,
107,2026-09-22T23:34:27.469Z,2026-09-22T23:34:27.670Z,1,0,1006,201.161,200,13.375,E1,
108,2026-09-22T23:34:27.594Z,2026-09-22T23:34:27.796Z,1,0,1007,202.260,200,13.500,E1,
109,2026-09-22T23:34:27.719Z,2026-09-22T23:34:27.921Z,1,0,1008,201.391,200,13.626,E1,
110,2026-09-22T23:34:27.844Z,2026-09-22T23:34:28.046Z,1,0,1009,201.304,200,13.751,E1,
111,2026-09-22T23:34:27.969Z,2026-09-22T23:34:28.171Z,1,0,1000,202.014,200,13.876,E1,
112,2026-09-22T23:34:28.094Z,2026-09-22T23:34:28.296Z,1,0,1001,202.240,200,14.001,E1,
113,2026-09-22T23:34:28.219Z,2026-09-22T23:34:28.420Z,1,0,1002,201.212,200,14.126,E1,
114,2026-09-22T23:34:28.344Z,2026-09-22T23:34:28.545Z,1,0,1003,201.341,200,14.250,E1,
115,2026-09-22T23:34:28.470Z,2026-09-22T23:34:28.671Z,1,0,1004,201.573,200,14.376,E1,
116,2026-09-22T23:34:28.595Z,2026-09-22T23:34:28.796Z,1,0,1005,201.250,200,14.501,E1,
117,2026-09-22T23:34:28.719Z,2026-09-22T23:34:28.922Z,1,0,1006,202.145,200,14.626,E1,
118,2026-09-22T23:34:28.844Z,2026-09-22T23:34:29.045Z,1,0,1007,201.232,200,14.751,E1,
119,2026-09-22T23:34:28.969Z,2026-09-22T23:34:29.170Z,1,0,1008,201.513,200,14.876,E1,
120,2026-09-22T23:34:29.094Z,2026-09-22T23:34:29.295Z,1,0,1009,201.451,200,15.001,E1,
121,2026-09-22T23:34:29.219Z,2026-09-22T23:34:29.421Z,1,0,1000,201.901,200,15.126,E1,
122,2026-09-22T23:34:29.344Z,2026-09-22T23:34:29.545Z,1,0,1001,201.175,200,15.250,E1,
123,2026-09-22T23:34:29.469Z,2026-09-22T23:34:29.672Z,1,0,1002,202.308,200,15.376,E1,
124,2026-09-22T23:34:29.594Z,2026-09-22T23:34:29.796Z,1,0,1003,201.743,200,15.501,E1,
125,2026-09-22T23:34:29.719Z,2026-09-22T23:34:29.920Z,1,0,1004,201.333,200,15.626,E1,
126,2026-09-22T23:34:29.844Z,2026-09-22T23:34:30.046Z,1,0,1005,202.299,200,15.751,E1,
127,2026-09-22T23:34:29.969Z,2026-09-22T23:34:30.171Z,1,0,1006,202.031,200,15.876,E1,
128,2026-09-22T23:34:30.094Z,2026-09-22T23:34:30.296Z,1,0,1007,202.023,200,16.000,E1,
